ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80829,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Cultura - Pontifícia Universidade Católica de São Paulo,PRIVADA – Não informada,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,São Paulo,http://agendamc.wordpress.com/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80829
80831,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Histórico da Imigração Japonesa do Paraná,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,PR,Rolândia,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80831
80837,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal David Canabarro,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Sant'Ana do Livramento,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80837
80838,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal de Valença do Piauí,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PI,Valença do Piauí,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80838
80839,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu de Pré-História de Itapipoca,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,CE,Itapipoca,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80839
80840,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Farmácia Augusto Stellfeld,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Curitiba,http://www.shoppingestacao.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80840
80841,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu do Pão,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Ilópolis,http://www.caminhodosmoinhos.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80841
80845,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal Carlos Nobre,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Guaíba,http://museucarlosnobre.blogspot.com,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80845
80846,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Municipal de São Sepé,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,São Sepé,http://www.fundacaoafif.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80846
80847,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu da Humanidade - Instituto de Pesquisa Histórica e Arqueológica do Rio de Janeiro,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Rio de Janeiro,http://www.ipharj.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80847
