ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
81975,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Contador Renato Gonçalves,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,SC,Florianópolis,http://www.crcsc.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81975
81979,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Jagunço da Cidade Santa do Taquaruçú,PÚBLICA – Municipal,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,SC,Fraiburgo,http://www.fraiburgo.sc.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81979
81980,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Nossa Senhora do Rosário do Bom Fim,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,São Gabriel (Rio Grande do Sul),http://museubomfim.blogspot.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81980
81981,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico de Oliveira,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MG,Oliveira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81981
81990,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Fernando Ferreira da Cruz (Beneficente Portuguesa do Amazonas),PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,AM,Manaus,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81990
81991,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Centro de Cultura Popular Domingos Vieira Filho,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",MA,São Luís,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81991
81994,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Centro Cultural Manduri,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MG,Minduri,http://www.minduri.mg.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81994
81999,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu São Pedro,PRIVADA – Fundação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,Itu,https://fmarte.org/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81999
82001,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Pedro Ludovico,PÚBLICA – Estadual/Distrital,Fechado,Clássico/Tradicional,História,GO,Goiânia,http://www.agepel.go.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82001
82002,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Zoologia da Fundação Pólo Ecológico de Brasília,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",DF,Brasília,http://www.zoo.df.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82002
82009,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Presépio José Gomes Filho - Zé Gominho,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",MG,Itapecerica,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82009
82018,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Manoel da Marinheira,PARTICULAR,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",AL,Boca da Mata,http://www.aguasdesaobento.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82018
82019,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico Visconde de São Leopoldo,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,RS,São Leopoldo,http://www.museuhistoricosl.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82019
82021,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Internacional do Presépio (Associação São Tiago Maior),PRIVADA – Associação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RO,Porto Velho,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82021
82036,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Afro-digital da Memória Africana e Afro-brasileira da Universidade Federal da Bahia,PÚBLICA – Federal,Aberto,Virtual,História,BA,Salvador,http://www.museuafrodigital.ufba.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82036
