ID,Título,Status do Museu,Localização,Geolocalização manual
80219,Museu Paulista de Antiguidades Mecânicas - Roberto Lee,Aberto,"-23.1051152688995,-45.7183384895325",False
80221,Parque Memorial Quilombo dos Palmares,Aberto,"-9.6369877,-35.7018493",False
80222,Herbário MFS Professora Doutora Marlene Freitas da Silva - Universidade do Estado do Pará,Aberto,"-1.43164636130902,-48.488427400589",False
80223,Museu da Imagem e do Som (Macapá),Aberto,"0.002561,-51.075875",False
80224,Observatório Didático de Astronomia - Lionel José Andriatto - Universidade Estadual Paulista - UNESP/Bauru,Aberto,"-22.3582792,-49.0272456",False
80225,Museu Potigatapuia,Aberto,"-4.78694937882902,-40.0627613067627",False
80226,Museu Histórico Beato José de Anchieta,Aberto,"-22.74171,-46.910543",False
80227,Casa da Cultura de Urupema,Aberto,"-27.9550223890773,-49.8760414123535",False
80228,Museu das Pedras Preciosas e Mineralogia Egisto Dal Santo,Aberto,"-28.8210639354718,-52.4825477600098",False
80229,Jardim Botânico da Universidade Federal de Santa Maria,Aberto,"-29.718682,-53.729393",False
80230,Museu da Fotografia - Fortaleza,Aberto,"-3.7343719,-38.4889961",False
80231,Casa da Memória de Virmond,Aberto,"-25.38339,-52.19922",False
80232,Museu de Minerais e Rochas - Parque Pedra da Cebola,Aberto,"-20.2758476,-40.2973716",False
80233,Museu de Solos do Brasil Universidade Federal Rural do Rio de Janeiro,Aberto,"-22.7690305,-43.6869836",False
80234,Museu Histórico Municipal Professor José Alexandre Vieira,Aberto,"-26.483884,-51.993618",False
80235,Memorial Mauro Leite Soares - TRF 1,Aberto,"-15.8008061,-47.8804762",False
80236,Galeria Homero Massena,Aberto,"-20.3205123112035,-40.3385674953461",False
80237,Centro Cultural Lóttus,Aberto,"-22.9030382,-43.2823739",False
80239,Instituto Cultural Engenho Central - Museu da Cana,Aberto,"-21.0131678289024,-48.0274200439453",False
80240,Centro Sebrae de Referência do Artesanato Brasileiro - Crab,Aberto,"-22.9073408,-43.1839051",False
80241,Museu Histórico do Parecis,Aberto,"-13.6555902,-57.8919308",False
80242,Museu Histórico de Regência,Aberto,"-19.648528871264833,-39.824806451797485",False
80243,Centro Histórico-cultural Santa Casa,Aberto,"-30.0298664,-51.2208419",False
80244,Museu da Língua Portuguesa,Aberto,"-23.5347324,-46.6352131",False
80245,Parque Histórico Castro Alves,Aberto,"-12.532136,-39.190595",False
80246,Parque Newton Freire Maia,Aberto,"-25.443438,-49.193152",False
80247,Parque Estadual Sete Passagens,Aberto,"-11.430324,-40.603459",False
80248,Museu Paleontológico Arqueológico Walter Ilha,Aberto,"-29.6362393,-54.185645",False
80249,Museu Municipal - Fundação Casa da Cultura de Marabá,Aberto,"-5.35444000979843,-49.0882015228271",False
80250,Casa Museu Máximo Rebouças,Aberto,"-4.956325,-37.133631",False
80251,Museu da Corrupção - Virtual,Aberto,"-23.5505199,-46.6333094",False
80252,Museu Virtual de Instrumentos Musicais,Aberto,"-22.9068467,-43.1728965",False
80253,Museu Histórico Municipal Cornélio Ramos,Aberto,"-18.169637388968535,-47.947200949077015",False
80254,Museu do Automóvel de Pomerode,Aberto,"-26.7342168,-49.1739813",False
80255,Museu Interativo do Semiárido da Universidade Federal de Campina Grande,Aberto,"-7.215111,-35.907439",False
80256,Parque Zoológico Municipal Quinzinho de Barros,Aberto,"-23.506936,-47.4381039",False
80257,Espaço Cultural Casa das Onze Janelas - Museu de Arte Contemporânea,Aberto,"-1.454953,-48.504932",False
80259,Museu da Polícia Civil do Rio Grande do Sul,Aberto,"-30.0472764,-51.2104418",False
80260,Acervo Histórico do Sistema Penitenciário do Paraná,Fechado,"-25.429099857306603,-49.27249610424041",False
80261,Museu Guiomar Britto,Aberto,"-9.503995,-37.830421",False
80262,Centro de Estudos e Pesquisas Arqueológicas do Amapá da Universidade Federal do Amapá,Aberto,"0.034589,-51.069844",False
80263,Museu Centro Cultural João Fona,Aberto,"-2.418708,-54.70831",False
80264,Museu das Tartarugas Marinhas - Ecoassoaciados,Aberto,"-8.50674751693814,-35.0020605325699",False
80265,Centro de Documentação Histórica da Fundação Romi,Fechado,"-22.7653665,-47.4289885",False
80266,Casa da Memória,Aberto,"-25.137094,-54.300622",False
80267,Museu de Arqueologia e Etnologia MAE - Universidade Federal do Paraná,Aberto,"-25.52168,-48.507204",False
80268,Centro de Memória Juiz Paulo Fleury da Silva e Souza,Aberto,"-16.699422445425,-49.2721796035767",False
80269,Museu Leasowe Castle House,Aberto,"-22.0245456012403,-49.6142578125",False
80270,Instituto Bruno Segalla,Aberto,"-29.1937547897727,-51.2561988830566",False
80271,Museu da Estrada de Ferro Madeira Mamoré,Aberto,"-8.761158,-63.900436",False
80272,Espaço Cultural Joaquim Nobre de Lacerda - Casa da Cultura de Jaboatão,Aberto,"-8.11195813312668,-35.0198864936829",False
80273,Fortaleza de Santa Cruz de Anhatomirim - Universidade Federal de Santa Catarina,Aberto,"-27.426418629516192,-48.56426416137321",False
80274,Centro de Documentação e Memória de Alagoinhas,Aberto,"-12.141373,-38.432062",False
80275,Museu da Cidade de Triunfo,Fechado,"-7.83770918916062,-38.1037616729736",False
80276,Memorial Padre Victor,Aberto,"-21.3669343,-45.5122273",False
80277,Memorial Alemão - Bosque Alemão,Aberto,"-25.406096,-49.285545",False
80278,Museu Municipal Manir Haddad,Fechado,"-22.22395,-50.892636",False
80279,Museu Municipal Monsenhor Faria,Aberto,"-21.3576773,-46.1462923",False
80280,Museu de História da Medicina do Rio Grande do Sul,Aberto,"-30.029325,-51.218993",False
80281,Memorial Estação Ferroviária Capão Bonito,Fechado,"-24.1453609,-49.8268256",False
80282,Museu da Colonização Guilherme Meyer,Aberto,"-11.53563,-57.4131109787931",False
80283,Museu de Arte de Ribeirão Preto Pedro Manuel Gismondi,Aberto,"-21.175185,-47.806167",False
