ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
81002,Universidade Federal da Bahia - Instituto de Biologia - Rua Barão de Jeremoabo - Campus de Ondina,s/n,,Ondina,40170-115,Salvador,BA,"-13.0009721124492,-38.5085928440094",False
81003,Rua Doutor Carlos Barbosa,77,,Centro,95720-000,Garibaldi,RS,"-29.253811,-51.531677",False
81004,Avenida Nazaré,481,,Ipiranga,04263-000,São Paulo,SP,"-23.587919,-46.610452",False
81005,Praça Jonas Dias Batista,9,,Centro,18320-000,Apiaí,SP,"-24.508684,-48.839409",False
81006,Avenida Jorge Amado,s/n,,Imbuí,41720-040,Salvador,BA,"-12.968767,-38.428071",False
81007,Avenida Armando Penteado,s/n,,Vila Bortone,13650-000,Santa Cruz das Palmeiras,SP,"-21.825251,-47.247588",False
81008,Avenida Centenário,s/n,,Vale dos Barris,40100-180,Salvador,BA,"-12.991059,-38.512192",False
81009,Rua Santa Terezinha,s/n,Anexo da Escola Cecília Meirelles,Centro,87960-000,Marilena,PR,"-22.734019,-53.04074",False
81010,Praça Silvino Cabral,168,,Centro,58600-000,Santa Luzia (Paraíba),PB,"-6.870960932817869,-36.92111134529113",False
81011,Rua Augusto Klimmek,325,,Centro,89290-000,São Bento do Sul,SC,"-26.253981,-49.381628",False
81012,"BR 232, km 7,5",s/n,,Curado,50791-540,Recife,PE,"-8.07502,-34.966983",False
81013,Rua Frei João,601,,Não Informado,89609-000,Luzerna,SC,"-27.132287,-51.465537",False
81014,Rua 15 de Novembro,s/n,,Nossa Senhora das Graças,55640-000,Gravatá,PE,"-8.2116007,-35.5677787",False
81015,Rua Levy de Sousa e Silva,31 B,,Jardim Bom Tempo,06763-170,Taboão da Serra,SP,"-23.610335,-46.759027",False
81016,Rua Professor Castro Rebello,452,Ilha de Guaratiba,Guaratiba,23020-090,Rio de Janeiro,RJ,"-22.8815525169641,-43.6158835887909",False
81017,Avenida Governador Irineu Bornhausen,5600,Centro Integrado de Cultura,Agronômica,88025-200,Florianópolis,SC,"-27.5770877327705,-48.5258817672729",False
81018,Rua Manoel Antonio Galvão,s/n,Parque Pituaçu - Orla Patamares,Pituaçu,41741-550,Salvador,BA,"-12.9666893,-38.4067947",False
81019,Rua Conselheiro Franco,66,CUCA-Centro Universitário de Cultura e Arte,Centro,44002-128,Feira de Santana,BA,"-12.257379,-38.968067",False
81020,Avenida Prefeito Jaques Nunes,1739,,Centro,62320-000,Tianguá,CE,"-3.71990376110495,-40.9904193878174",False
81021,Avenida Edgar Vieira,s/n,"Campus Universitário Gabirel Novis Neves, Centro Cultural da UFMT.",Boa Esperança,78060-900,Cuiabá,MT,"-15.6116302,-56.0630475",False
81022,Rua Padre HenrI Mothon,s/n,Vila Junqueira,Centro,37701-009,Poços de Caldas,MG,"-21.78342,-46.572842",False
81023,Praça Honestino Guimarães,s/n,Praça Universitária,Setor Universitário,74001-970,Goiânia,GO,"-16.678416428102548,-49.24123764038086",False
81024,Avenida Doutor Theodureto de Almeida Camargo,1500,"Fazenda Santa Elisa, Botânica/Herbário",Jardim Nossa Senhora Auxiliadora,13075-630,Campinas,SP,"-22.8748632,-47.0713049",False
81025,Rua Benjamin Constant,682,,Centro,08674-010,Suzano,SP,"-23.5520698,-46.3163458",False
81026,Avenida Presidente Dutra,2230,,Baixa da União,76805-902,Porto Velho,RO,"-8.7577943,-63.9075367",False
81027,Avenida Ari Marques,355,,Centro,35600-000,Bom Despacho,MG,"-19.7343142,-45.2518857",False
81028,Rua Pinheiro Machado,577,,Centro,95760-000,São Sebastião do Caí,RS,"-29.5896142,-51.3764282",False
81029,Avenida Major Felizardo de Pinho Pessoa,s/n,,Centro,62300-000,Viçosa do Ceará,CE,"-3.5644941,-41.092161799999985",False
81030,Avenida Ipiranga,6681,Prédio 40,Partenon,90619-900,Porto Alegre,RS,"-30.058964,-51.175926",False
81031,Rua Major Jacinto Goulart,168,,Centro,88600-000,São Joaquim,SC,"-28.290464,-49.937584",False
81032,Parque da Independência,s/n,,Ipiranga,04299-000,São Paulo,SP,"-23.579546,-46.610265",False
81033,Avenida Sete de Setembro,1330,,Campo Grande,40080-001,Salvador,BA,"-12.985653,-38.519636",False
81034,Rua Antonio Teles de Meneses,13,Sobrado,Centro,25520-630,São João de Meriti,RJ,"-22.802917,-43.37048",False
81035,Largo Visconde de Mauá,s/n,,Centro,98170-000,Tupanciretã,RS,"-29.08626,-53.845004",False
81036,Rua Ludovico Cavinatto,1431,Monumento Jesus terceiro milênio - Parque da festa da uva,Nossa Senhora de Lourdes,95032-620,Caxias do Sul,RS,"-29.144641,-51.197889",False
81037,Avenida Orosimbo Maia,2600,,Vila Estanislau,13024-045,Campinas,SP,"-22.887618,-47.047955",False
81038,Praça André de Albuquerque,22,Esquina da Rua Padre João Manuel e D. Pedro I,Centro,59025-580,Natal,RN,"-5.793962,-35.198926",False
81039,Rua Caingangs,600,,Centro,17600-000,Tupã,SP,"-21.925599,-50.522411",False
81040,Rua Antônio Pompeu,555,Praça José Bonifácio,José Bonifácio,60040-000,Fortaleza,CE,"-3.735621,-38.528259",False
81041,Avenida Willy Barth,2770,,Centro,85948-000,Pato Bragado,PR,"-24.625095,-54.228632",False
81042,Rua Benfica,1150,,Madalena,50720-001,Recife,PE,"-8.0565207851303,-34.9088162183762",False
81043,"Avenida São Francisco, 1396",1396,,Nossa Senhora Aparecida,39270-000,Pirapora,MG,"-17.339289,-44.953195",False
81044,Avenida Sete de Setembro,160,Prédio,Centro,48760-000,Araci,BA,"-11.32575,-38.958745",False
81045,Rua Duque de Caxias,s/n,Palácio Episcopal,Centro,55200-000,Pesqueira,PE,"-8.358388,-36.69812",False
81046,Avenida Coronel Manoel Alves,355,,Não Informado,62280-000,Santa Quitéria,CE,"-4.331345,-40.1563418",False
81047,Avenida Moisés Carlos de Gouveia,s/n,,Mina Velha,84900-000,Ibaiti,PR,"-23.8255513068847,-50.1896667480469",False
81048,Rua Almirante Barroso,s/n,,Centro,58870-000,Timbaúba,PE,"-7.50940728482353,-35.3153800964355",False
81049,Rua Guarani,859,,Itaguá,11689-046,Ubatuba,SP,"-23.446581,-45.068263",False
81050,Rua Conde de Sarzedas,100,,Centro,01512-000,São Paulo,SP,"-23.553027,-46.632299",False
81051,Rua Guarda - Mor Custódio,156,,Centro,35900-000,Itabira,MG,"-19.6225035803036,-43.2265083119273",False
81052,Avenida Doutor Maximiliano Baruto,500,,Jardim Universitário,13607-339,Araras,SP,"-22.3757934888625,-47.3699569702148",False
81053,Avenida Universitária,s/n,"Centro de Saúde e Tecnologia Rural, UFCG",Santa Cecília,58708-110,Patos,PB,"-7.0593479735292,-37.2747766971588",False
81054,Rua Domênico Sonego,542,,Parque Centenário,88804-050,Criciúma,SC,"-28.689956,-49.378682",False
81055,"Rua Vigário Paixão, s/n",s/n,,Centro,38190-000,Sacramento,MG,"-19.862642,-47.451272",False
81056,Praça Joaquim Ferreira de Aguiar,62,,Centro,37262-000,Santo Antônio do Amparo,MG,"-20.9475888,-44.913073",False
81057,Rodovia BR 369,s/n,Sentido APAE,Não Informado,86200-000,Ibiporã,PR,"-23.266416,-51.052731",False
81058,Rua Desembargador Leão Neto,s/n,"Setor 3, Quadra 3",Parque dos Poderes,79031-902,Campo Grande (Mato Grosso do Sul),MS,"-20.4398414135948,-54.556839466095",False
