ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
82398,Avenida Rio Branco,s/n,,Centro,59600-000,Mossoró,RN,"-5.192323,-37.346988",False
82399,Praça Dom Pedro II,s/n,ao lado do Palácio Lauro Sodré,Cidade Velha,66020-240,Belém (Pará),PA,"-1.455872,-48.502909",False
82400,Rua Hortência,6,Prédio da Secretaria de Educação,Centro,26383-250,Queimados,RJ,"-22.71386,-43.559107",False
82401,Palácio Cruz e Sousa - Praça XV de Novembro,227,CENTRO HISTÓRICO DE FLORIANÓPOLIS,Centro,88010-400,Florianópolis,SC,"-27.5969421,-48.5499878",False
82402,Praça da Aclamação,s/n,,Centro,44300-000,Cachoeira,BA,"-12.6053688,-38.9622941",False
82403,Rua Germano Gressler,96,,São Geraldo,98700-000,Ijuí,RS,"-28.388415,-53.927379",False
82404,Rua Doutor Múcio Galvão,480,,Barro Vermelho,59022-530,Natal,RN,"-5.804802,-35.206395",False
82405,Rua Diógenes Gonçalves,373,,Centro,65980-000,Carolina,MA,"-7.3346854,-47.4738626",False
82406,Avenida XV de Novembro,s/n,,Parque Aldeia do Imigrante,95150-000,Nova Petrópolis,RS,"-29.365313,-51.093022",False
82407,Rua Muniz Barreto,54,,Centro,13730-040,Mococa,SP,"-21.469853,-47.001953",False
82408,Praça José Henrique Pereira,s/n,Antiga Estação Férrea,Centro,29255-000,Marechal Floriano,ES,"-20.410837,-40.6731633",False
82409,Rua Costa Sena,171,,Centro,35400-000,Ouro Preto,MG,"-20.3869768891542,-43.50441634655",False
82410,Avenida Paulo Pimenta Esper,s/n,,Coimbras,37900-000,Passos,MG,"-20.7078999993589,-46.6114068031311",False
82411,Rua XV de Novembro,642,,Centro,96300-000,Jaguarão,RS,"-32.564135,-53.379243",False
82412,Praça José da Penha,s/n,,Centro,59515-000,Angicos,RN,"-5.662291593688105,-36.60220205783844",False
82413,Praça Bom Jesus,101,Diretoria de Cultura,Centro,75025-050,Anápolis,GO,"-16.3275313,-48.9581084",False
82414,Avenida Eduardo Moreira da Cruz,295,,Jaguaribe,12460-000,Campos do Jordão,SP,"-22.727675,-45.59036",False
82415,Rua dos Passos,121,,Centro,28200-000,São João da Barra,RJ,"-21.6428388,-41.0516101",False
82416,Rodovia BR 226,s/n,Fazenda Colônia,Não Informado,59685-000,Triunfo Potiguar,RN,"-5.854474,-37.178946",False
82417,Avenida Borges de Medeiros,1945,3º andar,Centro,90110-150,Porto Alegre,RS,"-30.044223,-51.2291",False
82418,Rua Dragão do Mar,81,,Praia de Iracema,60060-390,Fortaleza,CE,"-3.72179,-38.519849",False
82419,Rodovia RJ 145,25532,,Esteves,27600-000,Valença (Rio de Janeiro),RJ,"-22.230892,-43.685456",False
82420,Praça do Derby,s/n,,Derby,52010-140,Recife,PE,"-8.0570492,-34.9001049",False
82421,Rua Campos Salles,2010,,Centro,14400-710,Franca,SP,"-20.536357,-47.399421",False
82422,Rua Professor Orestes,341,,Centro,38175-000,Santa Juliana,MG,"-19.3136391,-47.5273083",False
82423,Rua Venâncio Aires,66,,Centro,89897 -000,São João do Oeste,SC,"-27.0995719496533,-53.5931432247162",False
82424,"Rodovia José Setti km 4,5",s/n,,Santana,29154-200,Cariacica,ES,"-20.3090522673335,-40.3939819335938",False
82425,Rua Júlio de Castilhos,1060,,Centro,96450-000,Dom Pedrito,RS,"-30.983109,-54.676327",False
82426,Rodovia Municipal MC-67,s/n,Comunidade Quilombola,Comunidade Machadinha,28735-000,Quissamã,RJ,"-22.11283745792842,-41.48008346557617",False
82427,Avenida Fernando Ferrari,514,,Goiabeiras - Campus da UFES,29075-500,Vitória,ES,"-20.281933,-40.301629",False
82428,Rua Dois Irmãos,320,Fundação Gilberto Freyre,Apipucos,52071-440,Recife,PE,"-8.020846,-34.93634",False
82429,"Praça Municipal, Quadra 02",5,,SIG,70094-902,Brasília,DF,"-15.7869521917237,-47.9107815027237",False
82430,Avenida das Mangueiras,2601,,Penedo,27530-020,Itatiaia,RJ,"-22.438074,-44.529576",False
82431,Parque Tingüi,s/n,,São João,82030-585,Curitiba,PR,"-25.402433,-49.30517",False
82432,Rua Pedro Celestino,1433,,Centro,79002-371,Campo Grande (Mato Grosso do Sul),MS,"-20.461139,-54.612422",False
82433,Rua do Fico,s/n,,Dona Amélia,16015-100,Araçatuba,SP,"-21.186758,-50.441207",False
82434,Rua Primeiro de Março,66,,Centro,20010-000,Rio de Janeiro,RJ,"-22.900334,-43.176688",False
82435,Rua 13 de Maio,s/n,Edifício Ana Bezerra Moreira - Vivina,Centro,63500-000,Iguatu (Ceará),CE,"-6.363203,-39.289508",False
82436,Rua Doutor Thomaz Rodrigues da Cruz,1113,,Barreiro,07600-000,Mairiporã,SP,"-23.332412,-46.579612",False
82437,Pátio da Estação,s/n,,Vila São Benedito,27400-000,Quatis,RJ,"-22.411792,-44.263933",False
82438,"Rodovia 427, km 07",s/n,,Zona Rural,59380-000,Currais Novos,RN,"-6.255241,-36.514982",False
82439,Avenida Dalzotto,1000,Final da Avenida,Centro,85225-000,Boa Ventura de São Roque,PR,"-24.869276,-51.628111",False
82440,Rua Leopoldo Rosenfeldt,818,Centro Municipal de Cultura,Planalto,95670-000,Gramado,RS,"-29.385973,-50.8755529",False
82441,Rua Francisco Getúlio Vargas,1130,,Petrópolis,95070-560,Caxias do Sul,RS,"-29.16337835,-51.1497345761319",False
82442,Praça da Estação,s/n,2º Distrito de Miguel Pereira,Governador Portela,26900-000,Miguel Pereira,RJ,"-22.437196,-43.459174",False
82443,Rua Autran Moreno,202,Em frente a Praça da Estação,Centro,63900-000,Quixadá,CE,"-4.966687,-39.015829",False
82444,Praça Ari Parreiras,156,,Centro,28460-000,Miracema,RJ,"-21.412386966617728,-42.19676971435547",False
82445,Rua 25 de Março,184,,Centro,29300-100,Cachoeiro de Itapemirim,ES,"-20.8528164,-41.1096788",False
82446,Avenida Victor Barreto,2288,,Centro,92010-000,Canoas,RS,"-29.917572,-51.182328",False
82447,Rua Doutor Lacerda Sobrinho,39,,Centro,28010-076,Campos dos Goytacazes,RJ,"-21.760926,-41.325633",False
82448,Rua 132 - C,114,,Setor Sul,74093-240,Goiânia,GO,"-16.693986,-49.258166",False
82449,"Estrada RS 115, km 35",s/n,,Várzea Grande,95670-000,Gramado,RS,"-29.4268522764014,-50.8551120758057",False
82450,Avenida de Santa Cruz,8040,,Senador Camará,21833-065,Rio de Janeiro,RJ,"-22.8772912,-43.4449189",False
82451,Rua Vice-Governador Rúbens Berardo,100,,Gávea,22451-070,Rio de Janeiro,RJ,"-22.978183,-43.230288",False
82452,Praça Coronel Fernando Prestes,s/n,,Centro,18010-060,Sorocaba,SP,"-23.500288,-47.457781",False
82453,Passo do Risseti,s/n,,Passo do Risset,84300-000,Tibagi,PR,"-24.5193665,-50.4197797",False
82454,Avenida Bartolomeu de Gusmão,15,,Boqueirão,11045-400,Santos,SP,"-23.985337,-46.308194",False
82455,Rua Nadra Raffoul Mokodsi,3,,Jabaquara,04321-020,São Paulo,SP,"-23.650942,-46.645562",False
82456,Praça Fausto Cardoso,s/n,,Centro,49010-040,Aracaju,SE,"-10.909566,-37.068003",False
82457,Rua Coronel João Carlos,339,,Centro,61800-000,Pacatuba (Ceará),CE,"-3.984789,-38.6206",False
82458,Praça Bom Jesus,28,,Centro,59584-000,Touros,RN,"-5.200673,-35.456994",False
82459,Rua Washington Luiz,1050,Associação Cristã de Moços do Rio Grande do Sul,Centro,90010-460,Porto Alegre,RS,"-30.03757,-51.229539",False
82460,Rua Irmã Gomes,213,,Centro,19700-000,Paraguaçu Paulista,SP,"-22.415081,-50.575156",False
82461,Rua Duque de Caxias,s/n,,Não Informado,98500-000,Santa Rosa,RS,"-27.862225,-54.468233",False
82462,Rua Paula Bueno,526,,Centro,13840-040,Mogi Guaçu,SP,"-22.3711374,-46.935968",False
82463,Rua Felipe dos Santos,252,,Centro,36950-000,Ipanema,MG,"-19.799559,-41.7163113",False
82464,Praça 25 de Janeiro,12,,Centro,83650-000,Balsa Nova,PR,"-25.580859,-49.629565",False
82465,Praça Governador Valadares,176,,Centro,36770-000,Cataguases,MG,"-21.39288,-42.69006",False
82466,Praça Marechal Floriano Peixoto,303,,Centro,24800-165,Itaboraí,RJ,"-22.745434,-42.85978",False
82467,Serra do Evaristo,s/n,Comunidade Quilombola da Serra do Evaristo,Zona Rural,62760-000,Baturité,CE,"-4.3325997,-38.8773164",False
82468,Avenida Principal,1195,Conjunto Graciliano Ramos,Tabuleiro,57073-340,Maceió,AL,"-9.646726,-35.746034",False
82469,Praça Cônego Araripe,22,,Centro,61700-000,Aquiraz,CE,"-3.901519,-38.39123",False
82470,Avenida Barão do Rio Branco,3460,3º andar,Altos Passos,36025-020,Juiz de Fora,MG,"-21.7723814,-43.3470942",False
82471,Rua Heitor Penteado,56,,Centro,13460-000,Nova Odessa,SP,"-22.775681,-47.292945",False
82472,Rua Coronel Correia,2718,,Pe. Júlio Maria,61610-000,Caucaia,CE,"-3.735259,-38.665581",False
82475,Avenida Heitor Penteado,s/n,Entrada pelo Portão 7 - Parque Taquaral,Taquaral,13083-970,Campinas,SP,"-22.877159,-47.057909",False
82476,Vila Giannetti,casa 31,Universidade Federal de Viçosa,"Campus Universitário, Universidade Federal de Viçosa",36570-900,Viçosa (Minas Gerais),MG,"-20.753979428896834,-42.87247456192437",False
82477,Avenida Coronel Lino Texeira de Sampaio,s/n,,Centro,75200-000,Pires do Rio,GO,"-17.302356,-48.277205",False
82478,Avenida Floriano Peixoto,841,Subsolo,Centro,15880-000,Tabapuã,SP,"-20.963318,-49.028535",False
82479,Rua Georgina,64,Núcleo de Educação Ambiental,Jardim das Flores,06120-040,Osasco,SP,"-23.53875,-46.788903",False
82480,Rua 19,21,,Vila Santa Cecília,27263-720,Volta Redonda,RJ,"-22.5174856,-44.1088189",False
82481,Rua Coronel Maracajá,s/n,,Não Informado,58480-970,Cabaceiras,PB,"-7.489399,-36.287314",False
82482,Universidade Estadual de Feira de Santana - Avenida Transnordestina,s/n,Campus Universitário,Novo Horizonte,44036-900,Feira de Santana,BA,"-12.1987958269783,-38.9692407846451",False
82483,Rua Gypso,9,,Sol y Mar,27940-280,Macaé,RJ,"-22.392063025578118,-41.78649902343749",False
82484,Rua Capitão Heitor Perdigão,10,,Centro,96200-580,Rio Grande,RS,"-32.0289266,-52.1059983",False
82485,Praça Dom Antônio Ribeiro de Oliveira - Santuário Basílica do Divino Pai Eterno,s/n,,Santuário,75380-000,Trindade (Goiás),GO,"-16.652157,-49.493123",False
82486,Rua Rui Barbosa,79,,Centro,75860-000,Quirinópolis,GO,"-18.446717,-50.458634",False
82487,Praça Carlos Gomes,1,,Centro,13710-000,Tambaú,SP,"-21.698856,-47.273947",False
82488,Rua Frei Miguelinho,52,,Ribeira,59012-180,Natal,RN,"-5.7761326,-35.2052315",False
82489,Rua Ubaldino do Amaral,37,,Alto da Glória,80060-190,Curitiba,PR,"-25.423006,-49.260429",False
82490,Rodovia SC 460 - km 04,s/n,,Zona Rural,89440-000,Irineópolis,SC,"-26.2429228,-50.79516799999999",False
82491,Rua Lindolfo Simões,415,,Centro,57230-000,Coruripe,AL,"-10.1272917,-36.175162",False
82493,Largo da Penha,19,,Penha,21070-560,Rio de Janeiro,RJ,"-22.84174,-43.278881",False
82494,Rua Júlio de Castilhos,1448,,Centro,95960-000,Encantado,RS,"-29.235634,-51.870802",False
82495,Palácio do Congresso Nacional - Praça dos Três Poderes,s/n,,Praça dos Três Poderes,70160-900,Brasília,DF,"-15.817195,-47.852243",False
82496,Praça Francisco Pereira da Silva,149,,Distrito Industrial,69075-780,Manaus,AM,"-3.130741,-59.987793",False
82497,"SAFS - Setor de Administração Federal Sul, Quadra 4",s/n,Lote 1 - Edifício - sede (térreo),Asa Sul,70042-900,Brasília,DF,"-15.80403,-47.862942",False
82498,Avenida Doutor Pereira Barreto,404,Em frente à Escola Estadual Santina Filizola,Centro,69190-000,Maués,AM,"-3.397538,-57.720366",False
82499,www.museudadanca.com.br,s/n,,Bela Vista,01418-000,São Paulo,SP,"-23.5606631256777,-46.646511554718",False
82500,Rua Doutor Morais Filho,41,,Centro,12500-290,Guaratinguetá,SP,"-22.815937,-45.192311",False
82501,Rua 20 Q,34,,Centro,74020-170,Goiânia,GO,"-16.7872022,-49.3847915",False
82502,Rodovia Baldicero Filomeno,10106,,Ribeirão da Ilha,88064-002,Florianópolis,SC,"-27.738908,-48.558715",False
82503,Praça Pedro Américo,s/n,,Não Informado,58010-340,João Pessoa,PB,"-7.118956,-34.885854",False
82504,Praça Conde de Prados,55,,Centro,36200-000,Barbacena,MG,"-21.227668,-43.773485",False
82505,Praça Jorge Lacerda,s/n,,Centro,89891-000,Iraceminha,SC,"-26.822016,-53.277202",False
82506,Avenida Sete de Setembro,2195,,Corredor da Vitória (Centro),40080-002,Salvador,BA,"-12.99057,-38.524713",False
82507,Avenida Brasil,4365,"Sede do Museu da Vida, sala 11",Manguinhos,21040-900,Rio de Janeiro,RJ,"-22.8766706,-43.2457924649569",False
82508,Rua Paulino Bussulo,s/n,,Mina Brasil,88811-220,Criciúma,SC,"-28.672768,-49.373384",False
82509,Avenida Doutor Arnaldo,715,,Cerqueira César,01246-904,São Paulo,SP,"-23.553083,-46.673361",False
82510,Rua Siqueira Campos,439,,Centro,68005-060,Santarém,PA,"-2.418054,-54.714893",False
82511,Praça Waldemar Falcão,s/n,,Centro,62760-000,Baturité,CE,"-4.329711542737306,-38.88152718544006",False
82512,Avenida Serafim Derenzi,s/n,,Conduza,29000-000,Vitória,ES,"-20.2882783,-40.3371107",False
82513,Rua Emílio Jost,53,,Centro,93630-000,Nova Hartz,RS,"-29.584571,-50.903097",False
82514,Rua Engenheiro Firmino Elói,94,,Centro,45630-000,Itajuípe,BA,"-14.673358746968,-39.3760299682617",False
82515,Travessa Albino Phaiffer,84,,Centro,97670-000,São Borja,RS,"-28.656371,-56.001418",False
82516,Rua da Graça,284,,Graça,40150-060,Salvador,BA,"-12.99753,-38.525373",False
82517,Rua Benjamin Constant,60,Prédio,Centro,99300-000,Soledade (Rio Grande do Sul),RS,"-28.833233,-52.512312",False
82518,Avenida Bob Kennedy,s/n,,Nova Piam,26115-560,Belford Roxo,RJ,"-22.741887,-43.395295",False
82519,Rua dos Andradas,230,,Centro Histórico,90020-000,Porto Alegre,RS,"-30.03292,-51.238778",False
82520,Praça Visconde de Mauá,305,,Centro,25685-380,Petrópolis,RJ,"-22.5074572,-43.1775388",False
82521,Avenida Senhora Santana,222,,Centro,59940-000,Luís Gomes,RN,"-6.406281,-38.390216",False
82522,Rua Monsenhor José Augusto,204,,São José,36205-018,Barbacena,MG,"-21.2275288,-43.7679499",False
82523,Rua Padre Roberval Laperrer,s/n,Seminário Claretiano,Parque Claret,93280-124,Esteio,RS,"-29.851748,-51.1505359",False
82524,Rua Marechal Floriano,274,,Centro,96810-000,Santa Cruz do Sul,RS,"-29.714087,-52.42773",False
82525,Avenida Rio Grande do Sul,1235,,Granja Santa Helena - Praia do Laranjal,96090-590,Pelotas,RS,"-31.762462,-52.243437",False
82526,Avenida Albert Einstein,627-701,"Bloco D, Piso 2",Morumbi,05651-901,São Paulo,SP,"-23.600371,-46.715163",False
82527,Rodovia BR 116 - km 18,s/n,,Não Informado,61760-000,Eusébio,CE,"-3.892879,-38.456225",False
82528,Avenida Godofredo Maciel,4307,Mondubim,Mondubim,60752-483,Fortaleza,CE,"-3.812893,-38.575045",False
82529,Rua Conde Lages,25,,Glória,20241-080,Rio de Janeiro,RJ,"-22.9167287,-43.177919",False
82530,Rua João Luciano Barbosa,s/n,,Centro,38170-000,Perdizes,MG,"-19.343847,-47.296745",False
82531,Rua do Apolo,153,,Bairro do Recife,50030-220,Recife,PE,"-8.061145,-34.872259",False
82532,Rua Botucatu,740,,Vila Clementino,04023-900,São Paulo,SP,"-23.597975,-46.642832",False
82533,Rua Luiz Leite,7,,Centro,13900-240,Amparo (São Paulo),SP,"-22.7012974,-46.7613961",False
82534,Rua Valdomiro Moreno Rodrigues,136,,Vila Nova,03286-050,São Paulo,SP,"-23.5950626,-46.5296274",False
82535,Rua Humberto de Campos,130,,Centro,46430-000,Guanambi,BA,"-14.222154,-42.783029",False
82536,Rua Plácido de Castro,154,,Azenha,90650-070,Porto Alegre,RS,"-30.052665,-51.209501",False
82537,"Rodovia CE 253, km 36 - Alto do Cravatá",s/n,,Barro Branco,62180-000,Pacujá,CE,"-3.98365,-40.699254",False
82538,Praça Ramos de Azevedo,254,Térreo e 1º andar,Centro,01037-912,São Paulo,SP,"-23.545043,-46.638023",False
82539,Avenida Baía dos Golfinhos,s/n,,Praia da Pipa,59178-000,Tibau do Sul,RN,"-6.22375303114689,-35.0687885284424",False
82540,Avenida Centenário,s/n,,Centro,88801-250,Criciúma,SC,"-28.6958352,-49.3387466",False
82541,Largo da Matriz,9,19 e 25,Centro Histórico,06501-005,Santana de Parnaíba,SP,"-23.4452913,-46.9142412",False
82542,Praça Basílio de Araújo Filho,s/n,,Centro,86130-000,Bela Vista do Paraíso,PR,"-22.99351,-51.188461",False
82543,Prava Nove de Julho,150 C,,Centro,16450-000,Getulina,SP,"-21.798926,-49.929705",False
82544,Rua Domingos de Souza França,720,,Centro,79540-000,Cassilândia,MS,"-19.118322,-51.731789",False
82545,Avenida Doutor Maurício Cardoso,510,,Hamburgo Velho,93510-250,Novo Hamburgo,RS,"-29.677928,-51.114083",False
82546,Avenida Osvaldo Aranha,s/n,Auditório Araújo Viana,Não Informado,90035-190,Porto Alegre,RS,"-30.031835,-51.222359",False
82547,Rua Santo Antônio,s/n,,Centro,78195-000,Chapada dos Guimarães,MT,"-15.464772,-55.750355",False
82548,Rua da Barra,925,próximo ao hospital da mulher,Jardim Cruzeiro,44024-432,Feira de Santana,BA,"-12.239604,-38.979383",False
82549,Avenida Borges de Medeiros,2251,,Centro,95670-000,Gramado,RS,"-29.367393630878,-50.8796811103821",False
82550,Praça da Igreja,s/n,,Centro,62297-000,Catunda,CE,"-4.643743,-40.200353",False
82551,Estrada Principal do Bairro Nova Baden,s/n,,Nova Baden,37480-000,Lambari,MG,"-21.9161338788854,-45.28564453125",False
82552,Avenida Aracaí,250,,Centro,18130-235,São Roque,SP,"-23.532381,-47.130763",False
82553,Rua Coronel Carvalho,s/n,,Centro Histórico,89240-000,São Francisco do Sul,SC,"-26.249903,-48.641638",False
82554,Rua Doutor Lauro de Oliveira,71,,Não Informado,90420-210,Porto Alegre,RS,"-30.036016,-51.20054",False
82555,"Estrada das Pedreiras, km 2",s/n,,Zona Rural,72980-000,Pirenópolis,GO,"-15.84559,-48.92588699999999",False
82556,"Avenida Orestes Quércia, km 2,",s/n,,Zona Rural,14470-000,Pedregulho,SP,"-20.2431934106278,-47.4737906455994",False
82557,Rua Severina Paraíso da Silva,65,,São Benedito,53270-360,Olinda,PE,"-8.010579,-34.854824",False
82558,Rua Sete de Setembro,410,,Centro,98870-000,Giruá,RS,"-28.029125,-54.345201",False
82559,Largo dos Jesuítas,67,,Centro Histórico,06803-360,Embu das Artes,SP,"-23.649813,-46.851609",False
82560,Estrada da Cachoeira,1560,,Distrito de Conservatória,27655-000,Valença (Rio de Janeiro),RJ,"-22.286374,-43.923643",False
82561,Rua Capitão Virmond,1888,,Centro,85010-230,Guarapuava,PR,"-25.393423,-51.4636",False
82562,Rua dos Andradas,1234,10º andar,Centro,90020-008,Porto Alegre,RS,"-30.029787,-51.2291",False
82563,Rua Doutor Homem de Melo,1109,,Perdizes,05007-002,São Paulo,SP,"-23.533246,-46.674122",False
82564,Praça do Convênio,s/n,,Centro,12020-040,Taubaté,SP,"-23.024712,-45.555277",False
82565,Rua Antônio Ricaldi,s/n,,Cidade Histórica,45810-000,Porto Seguro,BA,"-16.437087,-39.064453",False
82566,Avenida Antônio Prado,2259,,Centro,14460-000,Cristais Paulista,SP,"-20.404042,-47.421365",False
82567,Avenida Marcelino Pires,14474,,Vila Maxwell,79801-004,Dourados,MS,"-22.2257622,-54.7912192",False
82568,Avenida Dom Aureliano Matos,1759,,Centro,62930-000,Limoeiro do Norte,CE,"-5.144309,-38.08504",False
82569,Rua Primeiro de Março,s/n,Praça XV,Centro,20010-160,Rio de Janeiro,RJ,"-22.903870087963007,-43.173882365226746",False
82570,Avenida 25 de Julho,1608,,Centro,95270-000,Flores da Cunha,RS,"-29.0238086383784,-51.1937020719051",False
82571,Avenida do Farol,2907,,Praia do Forte,48287-000,Mata de São João,BA,"-12.5749141,-38.0066177",False
82572,Rua Erasto Gaertner,598,,Bacacheri,82510-160,Curitiba,PR,"-25.401997,-49.240783",False
82573,SEPN quadra 707/907,s/n,Centro Universitário de Brasília – UNICEUB - Bloco II - Térreo,Asa Norte,70790-075,Brasília,DF,"-15.767064,-47.893586",False
82574,Praça da Matriz,100,,Centro,37600-000,Cambuí,MG,"-22.6125054638264,-46.0577774047852",False
82575,Rua Avelino Chaves,1234,,Centro,69940-000,Sena Madureira,AC,"-9.06864,-68.656807",False
82576,Avenida Sete de Setembro,315,,Centro,97760-000,Jaguari,RS,"-29.494041,-54.703537",False
82577,SBS Quadra 4,s/n,"Lotes 3 e 4 Anexo ao prédio Matriz, 4º andar",Asa Sul,70092-900,Brasília,DF,"-15.804211,-47.884263",False
82578,Avenida Alfredo Reali,300,,Centro,95333-000,Fagundes Varela,RS,"-28.879879,-51.701942",False
82579,Rua Barão de Geremoabo,s/n,"Campus Universitário de Ondina, Instituto de Biologia, Departamento de Zoologia, Núcleo Regional de Ofiologia e Animais Peçonhentos da Bahia",Ondina,40170-290,Salvador,BA,"-13.004453,-38.509165",False
82580,Rua Pedro Américo,41,,Centro,58397-000,Areia,PB,"-6.96920277754711,-35.7043422292918",False
82581,Estrada do Vale Alcantilado,s/n,,Visconde Mauá NI Alcantilado,27501-970,Bocaina de Minas,MG,"-22.170176,-44.397611",False
82582,Praça da Matriz,s/n,"Igreja da Misericórdia, Cidade Histórica",Centro,45810-000,Porto Seguro,BA,"-16.418388,-39.085435",False
82583,Avenida Almirante Barroso,25,Sobreloja,Centro,20031-003,Rio de Janeiro,RJ,"-22.90443766237718,-43.180275578051805",False
82584,Avenida da Universidade,308,Bloco B - Sala 38/42,Cidade Universitária,05508-040,São Paulo,SP,"-23.56215,-46.718168",False
82585,Sítio Maceió,s/n,,Zona Rural,59570-000,Ceará-Mirim,RN,"-5.640455,-35.420065",False
82586,Avenida Sete de Setembro,1975,,Centro,69020-120,Manaus,AM,"-3.13472,-60.01237",False
82588,Avenida Marechal Floriano Peixoto,1401,Quartel do Comando Geral da PMPR,Rebouças,80230-110,Curitiba,PR,"-25.441417,-49.266936",False
82589,Praça dos Três Poderes,s/n,Zona Cívico-Administrativa - Praça dos Três Poderes,Plano Piloto,70100-000,Brasília,DF,"-15.8007344552699,-47.8616809844971",False
82590,Rua Nelson Renck,2933,,Centro,95600-082,Taquara,RS,"-29.645904,-50.783273",False
82591,Centro Cultural dos Três Poderes,s/n,,Esplanada dos Ministérios Brasília,70297-400,Brasília,DF,"-15.801111260539832,-47.86167068304214",False
82592,Praça Sinhô Pinheiro com Rua Capitão Caldas,122,,Centro,74630-000,Itaberaí,GO,"-16.020996,-49.806491",False
82593,MT 344 Saída para Dom Aquino,s/n,,Zona Rural,78840-000,Campo Verde,MT,"-15.537300905600834,-55.18398284912109",False
82594,Rua Coronel Juvêncio Silva,478,,Centro,16680-000,Avaí,SP,"-22.151884,-49.336067",False
82595,Avenida Rodolfo Baldi,1511,,Jardim Maria Eugênia,15880-000,Tabapuã,SP,"-20.959834,-49.027613",False
82596,Avenida Don Luiz Guanella,1810,ERS 235,Vila Suíça,95683-555,Canela,RS,"-29.360145,-50.836331",False
82597,Avenida Bento Gonçalves,9500,Prédio 43127 - Depto. de Paleontologia e Estratigrafia do Instituto de Geociências da UFRGS,Agronomia,91450-000,Porto Alegre,RS,"-30.034111,-51.218734",False
82598,"Avenida Burle Max, s/n",s/n,,Parque Ipanema,35162-011,Ipatinga,MG,"-19.470754,-42.548019",False
82599,Rua Oscar Brasilino dos Santos,1531,,Centro,14400-350,Franca,SP,"-20.5413113,-47.4023445",False
82600,Rua Rui Barbosa,130,,Centro,13270-340,Valinhos,SP,"-22.97784,-46.999451",False
82601,"Rodovia BR 116, km 150",s/n,,Petrópolis,95020-180,Caxias do Sul,RS,"-29.1634,-51.179675",False
82602,Rua 13 de Maio,970,,Vila Fátima,39480-000,Januária,MG,"-15.480607,-44.364302",False
82603,Rua Cônego Machado,1061,,Farol,57051-160,Maceió,AL,"-9.654335,-35.738744",False
82604,Rua Santo Antônio,698,Igreja do Galo,Cidade Alta,59025-520,Natal,RN,"-5.786971,-35.209225",False
82605,Rua Leite Ribeiro,s/n,Estação Ferroviária de Joinville,Anita Garibaldi,89208-090,Joinville,SC,"-26.3215493,-48.8468892",False
82606,Rua Professora Silvana Narvaez,61,,Centro,96740-000,Arroio dos Ratos,RS,"-30.088041,-51.728003",False
82607,Praça José Rodrigues do Nascimento,30,Paço Municipal,Água Fria,07752-060,Cajamar,SP,"-23.364526,-46.877096",False
82608,Rua Barão do Rio Branco,467,,Centro,96230-000,Santa Vitória do Palmar,RS,"-33.525478,-53.372249",False
82609,Rua Alto de Ondina,s/n,Parque Zoobotânico de Salvador,Ondina,40170-110,Salvador,BA,"-12.972226,-38.501426",False
82610,Praça Senador Pompeu,s/n,,Centro,62280-000,Santa Quitéria,CE,"-4.329308,-40.155232",False
82611,Praça Governador Armando Salles,122,,Centro,13870-000,São João da Boa Vista,SP,"-21.969169,-46.797325",False
82612,Rodovia BR 222 - km 7,s/n,,Aldeia Ponte,61600-000,Caucaia,CE,"-3.728343,-38.662282",False
82613,Rua Maestro Ignácio Stábile,200,,Alto da Boa Vista,14025-640,Ribeirão Preto,SP,"-21.1990422,-47.8096192",False
82614,Rua Boris,s/n,Praça Cristo Redentor,Centro,60060-620,Fortaleza,CE,"-3.722275,-38.521041",False
82615,Rua Liberdade,s/n,,Campos Elíseos,14085-250,Ribeirão Preto,SP,"-21.173599,-47.803525",False
82616,Rua Alayd de Souza Belém,8,,Centro,26540-110,Nilópolis,RJ,"-22.808772,-43.413551",False
82618,Rua Antônio Balbino,59,,Centro,47820-000,São Desidério,BA,"-12.3655717,-44.9735928",False
82619,Avenida Santos Dumont,s/n,Cidade Universitária,Santos Dumont,78200-000,Cáceres,MT,"-16.077656,-57.653606",False
82620,Avenida Mário Ipiranga Monteiro,3280,,Parque Dez,69050-030,Barcelos,AM,"-0.983724,-62.931576",False
82621,"Avenida Oswaldo Cruz, 697, km 3",s/n,,Bairro N. Sra. Dores,97015-004,Santa Maria (Rio Grande do Sul),RS,"-29.69241,-53.779842",False
82622,Avenida Oceano Atlântico,s/n,Base Avançada do Centro TAMAR em Guriri,Guriri Norte,29946-550,São Mateus,ES,"-18.7258847542729,-39.7471189498901",False
82623,Praça da aclamação,s/n,Conjunto do Carmo,Centro,44300-000,Cachoeira,BA,"-12.6056632884399,-38.9617037773132",False
82624,Rua Paschoal Apóstolo Pitsica,4876,Edifício Luiz Elias Daux - Torre I - MEZANINO,Agronômica,88025-255,Florianópolis,SC,"-27.5733221,-48.5300131",False
82625,Rua Pedro Cordeiro,181,,Centro,38680-000,Arinos,MG,"-15.919195,-46.104752",False
82626,Rua Imaculada Conceição,1155,,Prado Velho,80215-901,Curitiba,PR,"-25.451459,-49.25279",False
82627,Sítio Histórico Porto de São Mateus - Largo do Chafariz,s/n,,Porto São Mateus,29930-000,São Mateus,ES,"-18.721888,-39.858316",False
82628,Rua Travessa do Palácio,s/n,,Centro,78245-000,Vila Bela da Santíssima Trindade,MT,"-15.004356,-59.94778",False
