ID,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
81969,Parque Estadual de Mata das Flores,PÚBLICA – Estadual/Distrital,Aberto,Unidade de conservação da natureza,"Ciências exatas, da terra, biológicas e da saúde",ES,Castelo,https://iema.es.gov.br/PEMF,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81969
81970,Museu de Paleontologia e Estratigrafia - Universidade Estadual Paulista,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",SP,Rio Claro (São Paulo),http://www.rc.unesp.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81970
81971,Museu da Cidade (SSA),PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,BA,Salvador,http://www.culturafgm.salvador.ba.gov.br/index.php?option=com_content&amp;task=view&amp;id=13&amp;Itemid=5,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81971
81972,Fundação Cultural Francisco Fonseca Lopes,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,CE,Caridade,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81972
81973,Museu Sacro Franciscano,PRIVADA – Organização Religiosa,Fechado,Clássico/Tradicional,"Artes, arquitetura e linguística",RJ,Rio de Janeiro,https://museusacrofranciscano.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81973
81974,Museu do Seridó - Universidade Federal do Rio Grande do Norte,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,RN,Caicó,http://www.ceres.ufrn.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81974
81975,Museu Contador Renato Gonçalves,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,SC,Florianópolis,http://www.crcsc.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81975
81976,Museu Ilê Ohun Lailai,PRIVADA – Organização Religiosa,Fechado,Clássico/Tradicional,Antropologia e arqueologia,BA,Salvador,http://www.geocities.com/ileohunlailai,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81976
81977,Museu Nova Et Vétera,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,PR,Entre Rios do Oeste,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81977
81978,Memorial da Justiça do Trabalho - Tribunal Regional do Trabalho da 21ª Região,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,RN,Natal,https://www.trt21.jus.br/memorial/index.html,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81978
81979,Museu do Jagunço da Cidade Santa do Taquaruçú,PÚBLICA – Municipal,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,SC,Fraiburgo,http://www.fraiburgo.sc.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81979
81980,Museu Nossa Senhora do Rosário do Bom Fim,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,São Gabriel (Rio Grande do Sul),http://museubomfim.blogspot.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81980
81981,Museu Histórico de Oliveira,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MG,Oliveira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81981
81982,Associação Cultural Synagoga Israelita do Recife,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PE,Recife,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81982
81983,Memorial da Câmara Municipal de Valença,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,BA,Valença (Bahia),http://www.cmvalenca.ba.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81983
81984,Museu de Tecnologia em Educação,PRIVADA – Não informada,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Rio de Janeiro,http://www.ipae.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81984
81985,Casa Operariana - Memorial do Operário Futebol Clube,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,MS,Campo Grande (Mato Grosso do Sul),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81985
81986,Museu Justino Russolilo,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,BA,Itambé (Bahia),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81986
81987,Museu da Cidade de Sertãozinho,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SP,Sertãozinho (São Paulo),http://museusertaozinho.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81987
81988,Centro Municipal de Cultura Marlene Ágatha Piccinin,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SC,Abelardo Luz,http://www.abelardoluz.sc.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81988
81989,Museu Euclides Rufino Rodrigues,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,CE,Cariré,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81989
81990,Museu Fernando Ferreira da Cruz (Beneficente Portuguesa do Amazonas),PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,AM,Manaus,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81990
81991,Centro de Cultura Popular Domingos Vieira Filho,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",MA,São Luís,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81991
81992,Museu e Arquivo Histórico de Santa Bárbara do Sul,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Santa Bárbara do Sul,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81992
81993,Museu Comunitário da Lomba do Pinheiro/memorial da Família Remião,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,RS,Porto Alegre,http://www.ipdae.org,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81993
81994,Museu do Centro Cultural Manduri,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MG,Minduri,http://www.minduri.mg.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81994
81995,Instituto Butantan - Museu de Saúde Pública Emílio Ribas,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,SP,São Paulo,http://www.butantan.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81995
81996,Museu da Sociedade Rural do Paraná,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Londrina,http://www.srp.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81996
81997,Casa Roberto Marinho,PRIVADA – Fundação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RJ,Rio de Janeiro,http://www.casarobertomarinho.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81997
81998,Museu Regional de Olinda - MUREO,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,História,RO,Olinda,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81998
81999,Museu São Pedro,PRIVADA – Fundação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,Itu,https://fmarte.org/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=81999
82000,Museu de Artes e Ciências de Itapetinga,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,- NÃO INFORMADO -,BA,Itapetinga,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82000
82001,Museu Pedro Ludovico,PÚBLICA – Estadual/Distrital,Fechado,Clássico/Tradicional,História,GO,Goiânia,http://www.agepel.go.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82001
82002,Museu de Zoologia da Fundação Pólo Ecológico de Brasília,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",DF,Brasília,http://www.zoo.df.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82002
82003,Instituto Histórico e Geográfico de Vitória de Santo Antão,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PE,Vitória de Santo Antão,http://ihgvsa.blogspot.com,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82003
82004,"Museu de Microscopia e Ciências - MM&amp;C - Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",PÚBLICA – Federal,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",ES,Vila Velha,https://vilavelha.ifes.edu.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82004
82005,Museu Professor Doutor Herberto Pinto Tavares,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Volta Redonda,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82005
82006,Museu Casa Quissamã,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RJ,Quissamã,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82006
